bangumi_id,year,title,original_title,assigned_type,reason,classification_reason,bangumi_url
172156,2002,极速战警剧场版,エクスドライバー the Movie,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/172156
240273,2018,平假名男子 ~序~,劇場版 ひらがな男子 ~序~,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/240273
291175,2019,剧场版 Coluboccoro,劇場版 コルボッコロ,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,https://bgm.tv/subject/291175
305578,2020,,モンスターストライク THE MOVIE ルシファー 絶望の夜明け,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/305578
223563,2021,酷爱电影的庞波小姐,映画大好きポンポさん,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,https://bgm.tv/subject/223563
668846,2021,牛奶盒凯文,ミルクのケビン THE MOVIE,movie,format_tag_missing_used_platform_and_relations,未发现与 TV 动画的强关联，归入动画电影,https://bgm.tv/subject/668846
410499,2023,鬼灭之刃 上弦集结、前往锻刀村,鬼滅の刃 上弦集結、そして刀鍛冶の里へ,other,archive_subject_missing_used_platform_and_relations,番组计划当前普通标签含总集篇（归档缺失条目的已确认回退），按统一规则归入其他,https://bgm.tv/subject/410499
448491,2023,偶像大师 百万现场! 第1幕,アイドルマスター ミリオンライブ! 第1幕,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448491
448492,2023,偶像大师 百万现场! 第2幕,アイドルマスター ミリオンライブ! 第2幕,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448492
448493,2023,偶像大师 百万现场! 第3幕,アイドルマスター ミリオンライブ! 第3幕,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448493
448494,2023,偶像大师 闪耀色彩 第1章,アイドルマスター シャイニーカラーズ 第1章,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448494
427360,2023,剧场版 钢管舞公主!!,劇場版 ポールプリンセス!!,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/427360
448495,2023,偶像大师 闪耀色彩 第2章,アイドルマスター シャイニーカラーズ 第2章,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448495
448496,2024,偶像大师 闪耀色彩 第3章,アイドルマスター シャイニーカラーズ 第3章,theatrical,archive_subject_missing_used_platform_and_relations,分幕/分章先行上映作品与同名 TV 动画匹配，归入剧场版,https://bgm.tv/subject/448496
469668,2024,"鬼灭之刃 绊之奇迹,然后与柱训练",鬼滅の刃 絆の奇跡、そして柱稽古へ,other,archive_subject_missing_used_platform_and_relations,番组计划当前普通标签含总集篇（归档缺失条目的已确认回退），按统一规则归入其他,https://bgm.tv/subject/469668
612170,2024,,「映画おしりたんてい なんでもかいけつ倶楽部 対 かいとうU」,movie,format_tag_missing_used_platform_and_relations,未发现与 TV 动画的强关联，归入动画电影,https://bgm.tv/subject/612170
407409,2024,i☆Ris 电影版 - 活力满满!! -,i☆Ris the Movie - Full Energy!! -,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/407409
486571,2024,剧场版草莓王子 起始的物语~Strawberry School Festival!!!~,劇場版すとぷり はじまりの物語~Strawberry School Festival!!!~,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/486571
549232,2024,长篇动画电影 乔尼亚斯奥特曼 前往奥特之星！！,長篇アニメ映画 ザ☆ウルトラマン ウルトラの星へ!!,movie,format_tag_missing_used_platform_and_relations,番组计划用户标签标注为电影或动画电影,https://bgm.tv/subject/549232
421432,2024,鼠小僧次郎吉,山中貞雄に捧げる漫画映画「鼠小僧次郎吉」,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/421432
505776,2025,世界计划 无法歌唱的初音未来,劇場版プロジェクトセカイ 壊れたセカイと歌えないミク,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/505776
554518,2025,偶像活动×美妙天堂 电影,アイカツ!×プリパラ THE MOVIE -出会いのキセキ!-,movie,format_tag_missing_used_platform_and_relations,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,https://bgm.tv/subject/554518
