bangumi_id,year,title,old_type,new_type,bangumi_platform,has_tv_relation,classification_reason,bangumi_tags,vote_count,score_visible
596043,1960,北风与太阳,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,1,no
599949,1960,精灵与鞋匠,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 小说改,1,no
430488,1960,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
274316,1960,二尾秋刀鱼,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,12,no
274326,1960,邮票的幻想,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,10,no
693140,1961,进化5万年,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
599920,1961,鸭鸟权兵卫,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 子供向 / 日常 / 小说改,1,no
38940,1961,安寿与厨子王丸,movie,movie,3,no,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,剧场版,21,no
475153,1961,辉夜姬 学研版,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
599774,1962,老鼠与饭团,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 子供向 / 日常,1,no
599789,1962,蚂蚁和蚱蜢,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,短片 / 原创 / 子供向 / 日常,1,no
692058,1962,快乐文明史 铁的故事,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
145277,1962,阿拉伯之夜 辛巴达的冒险,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,10,no
615799,1962,鼹鼠莫多罗,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 子供向,2,no
641470,1962,御伽的世界旅行,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 漫画改,0,no
