bangumi_id,year,title,original_title,matched_tags,reason,bangumi_url
379954,1961,新匹诺曹历险记,The New Adventures of Pinocchio,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/379954
656949,1964,红鼻子驯鹿鲁道夫,Rudolph the Red-Nosed Reindeer,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656949
543173,1966,大拇指汤姆,TOM of T.H.U.M.B.,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/543173
508351,1966,金刚,King Kong,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/508351
656950,1966,斯莫基熊之歌,The Ballad of Smokey the Bear,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656950
656952,1967,零次元的强尼·赛弗,Johnny Cypher in Dimension Zero,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656952
316793,1969,斯莫基熊,The Smokey Bear Show,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/316793
656954,1970,圣诞老人进城了,Santa Claus Is Comin' to Town,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656954
257996,1971,海豚和少年,Oum le dauphin blanc,法国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/257996
656955,1972,世界名作童话动画,Festival of Family Classics,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656955
656956,1974,没有圣诞老人的圣诞节,The Year Without a Santa Claus,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656956
656957,1976,鲁道夫的闪亮新年,Rudolph's Shiny New Year,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656957
190434,1979,小熊米沙,こぐまのミーシャ,苏联,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/190434
656959,1980,匹诺曹的圣诞节,Pinocchio's Christmas,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656959
83688,1981,宇宙传说尤利西斯31,Ulysse 31,法国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/83688
380972,1982,银河巡警PJ,Il était une fois… l'Espace,法国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/380972
312717,1983,第一个圣诞节,はじめてのクリスマス,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/312717
317301,1984,战斗王,Mighty Orbots,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/317301
523997,1985,水晶美人鱼,Sweet Sea,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/523997
36130,1985,蒙面斗士,M.A.S.K.,美国动画,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/36130
656962,1985,圣诞老人的生活与冒险,The Life and Adventures of Santa Claus,美国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/656962
499200,1995,孔子传,孔子傳,中国 / 台湾 / 韩国,番组计划标签明确标注为其他国家或地区产出,https://bgm.tv/subject/499200
