bangumi_id,year,title,original_title,assigned_type,reason,bangumi_url
311295,1971,日本漫画电影发展史·漫画电影诞生,日本漫画映画発達史・漫画映画誕生,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/311295
311311,1973,日本漫画电影发展史·动画新画帖,日本漫画映画発達史・アニメ新画帖,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/311311
80860,1987,星图传说 剧场版,マップス 伝説のさまよえる星人たち,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/80860
3421,1989,五星物语 剧场版,ファイブスター物語,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/3421
103895,1991,,ZIGGY THE MOVIE それゆけ!R&R BAND,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/103895
26354,2000,剧场版 包在小可身上！,劇場版 ケロちゃんにおまかせ！,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/26354
172156,2002,极速战警剧场版,エクスドライバー the Movie,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/172156
2905,2006,动物之森,劇場版 どうぶつの森,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/2905
577367,2008,,イマジンあにめ モモタロスよ永遠に ―イマジン終着駅― 劇場版,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/577367
3183,2010,文学少女 剧场版,劇場版“文学少女”,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/3183
5832,2010,黑塔利亚剧场版,"銀幕ヘタリア Axis Powers Paint it, White（白くぬれ!）",movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/5832
16854,2011,心之国爱丽丝 剧场版,劇場版 ハートの国のアリス～Wonderful Wonder World～,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/16854
68969,2012,,映画 かいけつゾロリ だ・だ・だ・だいぼうけん!,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/68969
336522,2013,剧场版 空之境界 俯瞰风景3D,劇場版 空の境界 俯瞰風景3D,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/336522
43581,2013,剧场版 空之境界 未来福音,劇場版 空の境界 未来福音,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/43581
97305,2013,剧场版 空之境界 未来福音 extra chorus,劇場版 空の境界 未来福音 extra chorus,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/97305
414420,2013,,映画かいけつゾロリ まもるぜ!きょうりゅうのたまご,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/414420
414423,2015,,映画かいけつゾロリ うちゅうの勇者たち,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/414423
223517,2018,剧场版 心跳餐厅 MIRACLE6,劇場版 ときめきレストラン☆☆☆ MIRACLE6,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/223517
240273,2018,平假名男子 ~序~,劇場版 ひらがな男子 ~序~,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/240273
338474,2019,,映画コラショの海底わくわく大冒険!,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/338474
237084,2019,为谁而炼金,劇場版 誰ガ為のアルケミスト,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/237084
291175,2019,剧场版 Coluboccoro,劇場版 コルボッコロ,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/291175
291054,2020,,映画 ねこねこ日本史 龍馬のはちゃめちゃタイムトラベルぜよ!,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/291054
588247,2020,,劇場版 ごん -GON THE LITTLE FOX-,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/588247
305578,2020,,モンスターストライク THE MOVIE ルシファー 絶望の夜明け,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/305578
296309,2020,烟囱小镇的普佩,映画 えんとつ町のプペル,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/296309
223563,2021,酷爱电影的庞波小姐,映画大好きポンポさん,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/223563
668846,2021,牛奶盒凯文,ミルクのケビン THE MOVIE,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/668846
372472,2022,剧场版IDOL舞SHOW,劇場版IDOL舞SHOW,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/372472
410499,2023,鬼灭之刃 上弦集结、前往锻刀村,鬼滅の刃 上弦集結、そして刀鍛冶の里へ,other,archive_subject_missing,https://bgm.tv/subject/410499
414510,2023,剧场版IDOLiSH7 LIVE 4bit BEYOND THE PERiOD,劇場版アイドリッシュセブン LIVE 4bit BEYOND THE PERiOD,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/414510
283666,2023,剧场版 Collar×Malice -deep cover- 前篇,劇場版 Collar×Malice -deep cover- 前編,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/283666
411244,2023,剧场版 Collar×Malice -deep cover- 后篇,劇場版 Collar×Malice -deep cover- 後編,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/411244
448491,2023,偶像大师 百万现场! 第1幕,アイドルマスター ミリオンライブ! 第1幕,movie,archive_subject_missing,https://bgm.tv/subject/448491
448492,2023,偶像大师 百万现场! 第2幕,アイドルマスター ミリオンライブ! 第2幕,movie,archive_subject_missing,https://bgm.tv/subject/448492
448493,2023,偶像大师 百万现场! 第3幕,アイドルマスター ミリオンライブ! 第3幕,movie,archive_subject_missing,https://bgm.tv/subject/448493
448494,2023,偶像大师 闪耀色彩 第1章,アイドルマスター シャイニーカラーズ 第1章,movie,archive_subject_missing,https://bgm.tv/subject/448494
427360,2023,剧场版 钢管舞公主!!,劇場版 ポールプリンセス!!,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/427360
448495,2023,偶像大师 闪耀色彩 第2章,アイドルマスター シャイニーカラーズ 第2章,movie,archive_subject_missing,https://bgm.tv/subject/448495
