year,bangumi_id,title_cn,title,platform,reason,bangumi_url
1960,113127,西游记,西遊記,Movie,country_unknown,https://bgm.tv/subject/113127
1960,137409,,Piccolo,Movie,country_unknown,https://bgm.tv/subject/137409
1960,172756,降龙记,降龙记,Movie,country_unknown,https://bgm.tv/subject/172756
1961,634852,它是希腊喵,It's Greek to Me-ow!,Movie,country_unknown,https://bgm.tv/subject/634852
1961,634851,落魄出游,Down and Outing,Movie,country_unknown,https://bgm.tv/subject/634851
1961,132393,马罗,Munro,Movie,country_unknown,https://bgm.tv/subject/132393
1961,634850,猫狗互换,Switchin' Kitten,Movie,country_unknown,https://bgm.tv/subject/634850
1961,137428,决斗,Párbaj,Movie,country_unknown,https://bgm.tv/subject/137428
1961,651250,,Marysia i Krasnoludki,Movie,country_unknown,https://bgm.tv/subject/651250
1961,132394,代用品,Ersatz,Movie,country_unknown,https://bgm.tv/subject/132394
1961,137420,小小西部,Mały western,Movie,country_unknown,https://bgm.tv/subject/137420
1961,638776,人与星辰,Of Stars and Men,Movie,country_unknown,https://bgm.tv/subject/638776
1962,634870,卡门抓住他,Carmen Get It!,Movie,country_unknown,https://bgm.tv/subject/634870
1962,634867,情浓于水,Buddies Thicker Than Water,Movie,country_unknown,https://bgm.tv/subject/634867
1962,634866,非洲冒险,Sorry Safari,Movie,country_unknown,https://bgm.tv/subject/634866
1962,554204,吹牛伯爵历险记,Baron Prásil,Movie,country_unknown,https://bgm.tv/subject/554204
1962,634865,高高的陷阱,Tall in the Trap,Movie,country_unknown,https://bgm.tv/subject/634865
1962,634864,猫和老鼠卡通套装,The Tom and Jerry Cartoon Kit,Movie,country_unknown,https://bgm.tv/subject/634864
1962,634863,大白鲸,Dicky Moe,Movie,country_unknown,https://bgm.tv/subject/634863
1962,634861,甜蜜游轮,Calypso Cat,Movie,country_unknown,https://bgm.tv/subject/634861
1962,646100,约瑟的梦,בעל החלומות,Movie,country_unknown,https://bgm.tv/subject/646100
