review_status,year,wikipedia_title_zh,wikipedia_title_ja,wikipedia_release_date,wikipedia_url,candidate_1_id,candidate_1_title_cn,candidate_1_title,candidate_1_score,candidate_2_id,candidate_2_title,candidate_2_score,candidate_3_id,candidate_3_title,candidate_3_score,manual_decision,manual_bangumi_id,manual_note,best_japanese_candidate_id,best_japanese_candidate_title,japanese_similarity,core_title_similarity,release_month_day_same,uniqueness_margin,automatic_review_note
wikipedia_only,1981,时空巡警队救助超人,タイムパトロール隊オタスケマン アターシャの結婚披露宴!?,3月14日,https://zh.wikipedia.org/wiki/1980年代日本動畫列表,653904,塔罗的诞生,タローの誕生,0.25,431538,SPACY,0.1818,69467,人参果,0.1667,,,,653904,タローの誕生,0.25,0.25,no,0.25,未达到保守的自动确认阈值
wikipedia_only,1981,宇宙战舰大和号 新的旅程,宇宙戦艦ヤマト 新たなる旅立ち,3月14日,https://zh.wikipedia.org/wiki/%E5%AE%87%E5%AE%99%E6%88%B0%E8%89%A6%E5%A4%A7%E5%92%8C%E8%99%9F_%E6%96%B0%E7%9A%84%E6%97%85%E7%A8%8B,37278,宇宙战士巴鲁迪奥斯 剧场版,宇宙戦士バルディオス 劇場版,0.2609,113087,Heavy Metal,0.25,312001,21エモン 宇宙へいらっしゃい!,0.1905,,,,37278,宇宙戦士バルディオス 劇場版,0.2963,0.3333,no,0.1228,未达到保守的自动确认阈值
wikipedia_only,2000,ONE PIECE 黄金岛大冒险,ONE PIECE,3月4日,https://zh.wikipedia.org/wiki/ONE_PIECE_%E9%BB%83%E9%87%91%E5%B3%B6%E5%A4%A7%E5%86%92%E9%9A%AA,1869,航海王:黄金岛大冒险,ONE PIECE the movie,0.6667,112655,A・LI・CE,0.4615,696884,Digimon: The Movie,0.4348,,,,1869,ONE PIECE the movie,0.6667,1.0,yes,0.5635,未达到保守的自动确认阈值
wikipedia_only,2000,人狼 JIN-ROH,人狼 JIN-ROH,6月3日,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%8B%BC_JIN-ROH,112357,恐龙,Dinosaur,0.375,388278,John Henry,0.3529,58914,Chicken Run,0.3333,,,,112357,Dinosaur,0.375,0.375,no,0.0221,未达到保守的自动确认阈值
wikipedia_only,2001,吸血鬼猎人D,Vampire Hunter D: Bloodlust,2001年4月,https://zh.wikipedia.org/wiki/%E5%90%B8%E8%A1%80%E9%AC%BC%E7%8C%8E%E4%BA%BAD,112362,暑假历险,Recess: School's Out,0.4103,299510,Marco Polo: Return to Xanadu,0.3913,112881,Recess Christmas: Miracle on Third Street,0.3793,,,,112362,Recess: School's Out,0.4103,0.4103,no,0.019,未达到保守的自动确认阈值
likely_translation,2001,数码宝贝驯兽师之王 冒险者之战斗,冒険者たちの戦い,2001年7月14日,https://zh.wikipedia.org/wiki/%E6%95%B8%E7%A2%BC%E5%AF%B6%E8%B2%9D%E9%A6%B4%E7%8D%B8%E5%B8%AB%E4%B9%8B%E7%8E%8B,3137,数码宝贝驯兽师之王 冒险者的战斗,デジモンテイマーズ 冒険者たちの戦い,0.9333,3136,デジモンアドベンチャー02 ディアボロモンの逆襲,0.3871,310067,私たちの暮らしと土木,0.3333,,,,3137,デジモンテイマーズ 冒険者たちの戦い,0.64,0.64,yes,0.3317,未达到保守的自动确认阈值
likely_translation,2001,犬夜叉 跨越时代的思念,犬夜叉 跨越时代的思念,2001年12月15日,https://zh.wikipedia.org/wiki/%E7%8A%AC%E5%A4%9C%E5%8F%89,18617,犬夜叉 穿越时空的思念,犬夜叉 時代を越える想い,0.8,475810,ジェネレーション・オブ・カオス プロローグ,0.2857,3025,劇場版ポケットモンスター セレビィ 時を超えた遭遇,0.1538,,,,18617,犬夜叉 穿越时空的思念,0.8,0.8,yes,0.5393,未达到保守的自动确认阈值
likely_translation,2002,数码宝贝驯兽师之王 暴走特急,暴走デジモン特急,3月2日,https://zh.wikipedia.org/wiki/%E6%95%B8%E7%A2%BC%E5%AF%B6%E8%B2%9D%E9%A6%B4%E7%8D%B8%E5%B8%AB%E4%B9%8B%E7%8E%8B,3138,数码宝贝驯兽师之王 暴走数码宝贝特急,デジモンテイマーズ 暴走デジモン特急,0.8667,3139,デジモンフロンティア 古代デジモン復活!!,0.3077,16393,デジタルジュース,0.25,,,,3138,デジモンテイマーズ 暴走デジモン特急,0.64,0.64,yes,0.3573,未达到保守的自动确认阈值
wikipedia_only,2009,宵星传奇〜 The First Strike 〜,テイルズ オブ ヴェスペリア,10月3日,https://zh.wikipedia.org/wiki/%E5%AE%B5%E6%98%9F%E5%82%B3%E5%A5%87,2859,宵星传说~首鸣~,テイルズ オブ ヴェスペリア ~The First Strike~,0.6364,58962,Monsters vs. Aliens,0.4118,16250,テイルエンダーズ,0.4,,,,2859,テイルズ オブ ヴェスペリア ～The First Strike～,0.6316,0.6316,yes,0.2566,未达到保守的自动确认阈值
wikipedia_only,2010,秘密结社鹰之爪 THE MOVIE3,秘密結社 鷹の爪 THE MOVIE3~http:// 鷹の爪.jpは永遠に~,1月16日,https://zh.wikipedia.org/w/index.php?title=%E7%A5%95%E5%AF%86%E7%B5%90%E7%A4%BE%E9%B7%B9%E4%B9%8B%E7%88%AA&action=edit&redlink=1,3485,魔法少女奈叶 The MOVIE 1st,魔法少女リリカルなのは The MOVIE 1st,0.4848,12985,The Lost Thing,0.3571,325085,"Ultramarines: A Warhammer 40,000 Movie",0.3333,,,,3485,魔法少女リリカルなのは The MOVIE 1st,0.3922,0.1143,no,0.0995,未达到保守的自动确认阈值
