year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1960,596043,北风与太阳,movie,Movie,confirmed,1960年,,,7分钟,7,番组计划平台为 Movie，标题未标为剧场版,no
1960,599949,精灵与鞋匠,movie,Movie,confirmed,1960年6月,,,15分,15,番组计划平台为 Movie，标题未标为剧场版,no
1960,430488,,movie,Movie,confirmed,1960,,,13分,13,番组计划平台为 Movie，标题未标为剧场版,no
1960,274316,二尾秋刀鱼,movie,Movie,confirmed,1960,,,22分钟(黑白版) / 13分钟(彩色版),22,番组计划平台为 Movie，标题未标为剧场版,no
1960,274326,邮票的幻想,movie,Movie,confirmed,1960,,,7分钟,7,番组计划平台为 Movie，标题未标为剧场版,no
1961,693140,进化5万年,movie,Movie,confirmed,1961年,,,10分钟,10,番组计划平台为 Movie，标题未标为剧场版,no
1961,599920,鸭鸟权兵卫,movie,Movie,confirmed,1961年,,,16分,16,番组计划平台为 Movie，标题未标为剧场版,no
1961,38940,安寿与厨子王丸,movie,Movie,confirmed,1961年7月19日,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1961,475153,辉夜姬 学研版,movie,Movie,confirmed,1961年9月14日,,,27分钟,27,番组计划平台为 Movie，标题未标为剧场版,no
1962,599774,老鼠与饭团,movie,Movie,confirmed,1962年,,,11分钟,11,番组计划平台为 Movie，标题未标为剧场版,no
1962,599789,蚂蚁和蚱蜢,movie,Movie,confirmed,1962年,,,16分,16,番组计划平台为 Movie，标题未标为剧场版,no
1962,692058,快乐文明史 铁的故事,movie,Movie,confirmed,1962年4月22日,,,23分钟,23,番组计划平台为 Movie，标题未标为剧场版,no
1962,145277,阿拉伯之夜 辛巴达的冒险,movie,Movie,confirmed,1962年6月16日,,,81分,81,番组计划平台为 Movie，标题未标为剧场版,no
1962,615799,鼹鼠莫多罗,movie,Movie,confirmed,1962年7月19日,,,15分钟,15,番组计划平台为 Movie，标题未标为剧场版,no
1962,641470,御伽的世界旅行,movie,Movie,confirmed,1962年8月25日,,,76分钟,76,番组计划平台为 Movie，标题未标为剧场版,no
1962,142227,某个街角的故事,movie,Movie,confirmed,1962年11月5日,,,38分钟,38,番组计划平台为 Movie，标题未标为剧场版,no
1962,142599,雄性,movie,Movie,confirmed,1962年11月5日,,,3分钟,3,番组计划平台为 Movie，标题未标为剧场版,no
1963,83543,小王子与八头龙,movie,Movie,confirmed,1963年3月24日,,,86min,86,番组计划平台为 Movie，标题未标为剧场版,no
1963,692055,零的发现,movie,Movie,confirmed,1963年6月21日,,,21分钟,21,番组计划平台为 Movie，标题未标为剧场版,no
1963,262115,汪汪忠臣藏,movie,Movie,confirmed,1963年12月21日,,,81分钟,81,番组计划平台为 Movie，标题未标为剧场版,no
1963,560899,狼少年肯 剧场版,theatrical,Movie,confirmed,1963年12月21日,,,25分,25,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1964,159713,,movie,Movie,confirmed,1964,,,07:18,,番组计划平台为 Movie，标题未标为剧场版,no
1964,274324,,movie,Movie,confirmed,1964,,,9分钟,9,番组计划平台为 Movie，标题未标为剧场版,no
1964,560900,狼少年肯 阿拉伯的怪人・魔岩上的决斗,movie,Movie,confirmed,1964年3月22日,,,50分,50,番组计划平台为 Movie，标题未标为剧场版,no
1964,563264,狼少年肯 图腾柱魔人．手枪骚乱,movie,Movie,confirmed,1964年3月28日,,,50分,50,番组计划平台为 Movie，标题未标为剧场版,no
1964,565935,狼少年肯 恐鬼症・丛林大作战,movie,Movie,confirmed,1964年5月1日,,,50分,50,番组计划平台为 Movie，标题未标为剧场版,no
1964,566603,狼少年肯 月夜事件,movie,Movie,confirmed,1964年6月14日,,,25分,25,番组计划平台为 Movie，标题未标为剧场版,no
1964,360126,铁臂阿童木 宇宙的勇者,movie,Movie,confirmed,1964年7月26日,,,87分,87,番组计划平台为 Movie，标题未标为剧场版,no
1964,142601,记忆,movie,Movie,confirmed,1964年9月21日,,,6分钟,6,番组计划平台为 Movie，标题未标为剧场版,no
1965,360127,不可思议的药,movie,Movie,confirmed,1965年,,,13分钟,13,番组计划平台为 Movie，标题未标为剧场版,no
1965,579469,武士,movie,Movie,confirmed,1965,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1965,274320,隔壁的家伙,movie,Movie,confirmed,1965,,,9分钟,9,番组计划平台为 Movie，标题未标为剧场版,no
1965,673397,老鼠娶亲,movie,Movie,confirmed,1979年7月29日,,,13分钟,13,番组计划平台为 Movie，标题未标为剧场版,no
1965,265322,格列佛的宇宙旅行,movie,Movie,confirmed,1965年3月20日,,,80分钟,80,番组计划平台为 Movie，标题未标为剧场版,no
1965,568258,狼少年肯 怯懦的狮子,movie,Movie,confirmed,1965年3月20日,,,24分,24,番组计划平台为 Movie，标题未标为剧场版,no
1965,142602,一滴水,movie,Movie,confirmed,1965年10月1日,,,4分钟,4,番组计划平台为 Movie，标题未标为剧场版,no
1965,152090,香烟和灰,movie,Movie,confirmed,1965年10月1日,,,4分钟,4,番组计划平台为 Movie，标题未标为剧场版,no
1966,430237,啄木鸟计划,movie,Movie,confirmed,1966年,,,14分钟,14,番组计划平台为 Movie，标题未标为剧场版,no
1966,596028,月光与眼镜,movie,Movie,confirmed,1966年,,,7分钟,7,番组计划平台为 Movie，标题未标为剧场版,no
1966,430241,欢迎，宇宙人,movie,Movie,confirmed,1966年5月,,,15分,15,番组计划平台为 Movie，标题未标为剧场版,no
1966,110922,人造人009 剧场版,theatrical,Movie,confirmed,1966年7月21日,,,64分,64,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1966,425950,森林大帝 剧场版,theatrical,Movie,confirmed,1966年7月31日,,,75分,75,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1966,518873,白鹤报恩,movie,Movie,confirmed,1966年7月31日,,,17分,17,番组计划平台为 Movie，标题未标为剧场版,no
1966,142603,展览会的画,movie,Movie,confirmed,1966年11月11日,,,39分钟,39,番组计划平台为 Movie，标题未标为剧场版,no
1967,579466,花,movie,Movie,confirmed,1967年,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1967,110923,人造人009 怪兽战争,movie,Movie,confirmed,1967年3月19日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1967,265329,少年杰克与魔法使,movie,Movie,confirmed,1967年3月19日,,,80分钟,80,番组计划平台为 Movie，标题未标为剧场版,no
1967,188710,,movie,Movie,confirmed,1967-07-20,,,90分钟,90,番组计划平台为 Movie，标题未标为剧场版,no
1967,265326,,movie,Movie,confirmed,1967年7月21日,,,61分,61,番组计划平台为 Movie，标题未标为剧场版,no
1968,599513,丑小鸭 学研版,movie,Movie,confirmed,1968年,,,19分钟,19,番组计划平台为 Movie，标题未标为剧场版,no
1968,323848,奇妙奇妙星之国,movie,Movie,confirmed,1968年,,,20分钟,20,番组计划平台为 Movie，标题未标为剧场版,no
1968,599140,山幸彦与海幸彦,movie,Movie,confirmed,1968年,,,18分钟,18,番组计划平台为 Movie，标题未标为剧场版,no
1968,321649,影,movie,Movie,confirmed,1968年（草月実験映画祭）,,,3:38,,番组计划平台为 Movie，标题未标为剧场版,no
1968,212455,摘花,movie,Movie,confirmed,1968年,,,14分钟,14,番组计划平台为 Movie，标题未标为剧场版,no
1968,205260,,movie,Movie,confirmed,1968,,,5:28,,番组计划平台为 Movie，标题未标为剧场版,no
1968,430236,十个小印第安人,movie,Movie,confirmed,1968,,,2分,2,番组计划平台为 Movie，标题未标为剧场版,no
1968,274318,可美子的爱情,movie,Movie,confirmed,1968,,,3分08秒,3,番组计划平台为 Movie，标题未标为剧场版,no
1968,430239,爷爷当海盗那时候,movie,Movie,confirmed,1968,,,4分,4,番组计划平台为 Movie，标题未标为剧场版,no
1968,148871,安徒生物语,movie,Movie,confirmed,1968年3月19日,,,80分,80,番组计划平台为 Movie，标题未标为剧场版,no
1968,11190,太阳王子霍尔斯的大冒险,movie,Movie,confirmed,1968年7月21日,,,82分钟,82,番组计划平台为 Movie，标题未标为剧场版,no
1968,211091,鬼太郎,movie,Movie,confirmed,1968年7月21日,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1968,532823,九尾狐和飞丸,movie,Movie,confirmed,1968年10月19日,,,81分钟,81,番组计划平台为 Movie，标题未标为剧场版,no
1968,378492,,movie,Movie,confirmed,1968年12月19日,,,18分钟,18,番组计划平台为 Movie，标题未标为剧场版,no
1969,378871,孤身一人,movie,Movie,confirmed,1969年3月18日,,,25分钟,25,番组计划平台为 Movie，标题未标为剧场版,no
1969,28021,长靴猫剑客,movie,Movie,confirmed,1969年3月18日,,,80分钟,80,番组计划平台为 Movie，标题未标为剧场版,no
1969,28022,飞天幽灵船,movie,Movie,confirmed,1969年7月20日,,,60分钟,60,番组计划平台为 Movie，标题未标为剧场版,no
